Student_ID,Gender,Age,ParentEducation,StudyHoursPerWeek,AttendanceRate,InternetAccess,MidtermScore,FinalScore
1,Female,22,Master's,10.3,97.36,No,40.61,59.61
2,Male,18,High School,27.1,97.71,No,57.27,74
3,Male,24,High School,12.4,99.52,No,41.84,63.85
4,Female,24,High School,25.5,90.38,Yes,45.65,44.44
5,Female,23,Master's,13.3,59.41,No,53.13,61.77
6,Male,21,None,25.3,60.6,No,70.21,64.48
7,Male,24,Bachelor's,22.1,67.01,No,90.85,93.74
8,Male,19,None,16.7,65.91,Yes,91.72,59.47
9,Female,21,PhD,18.1,97.83,Yes,76.97,62.75
10,Female,22,None,9.4,89.45,No,95.69,86.97
11,Female,23,High School,7.9,86.2,Yes,70,85.54
12,Female,20,None,22.9,59.3,No,93.34,87.9
13,Male,21,None,26.2,95.48,No,67.24,97.23
14,Male,18,PhD,23,91.39,No,56.63,87.73
15,Male,19,Bachelor's,27.8,58.18,Yes,94.98,64.46
16,Male,18,Bachelor's,27.3,93.56,No,63.28,89.29
17,Female,21,High School,24.5,63.61,Yes,70.2,70.52
18,Female,23,Bachelor's,27.5,54.04,No,59.73,56.66
19,Male,20,High School,9.2,82.84,Yes,79.77,58.18
20,Male,20,Master's,23.3,82.69,Yes,99.7,53.43
21,Male,18,PhD,23.8,54.75,No,41.53,48.7
22,Male,22,None,8.8,65.94,No,93.99,51.07
23,Male,22,PhD,27.7,99.64,Yes,40.24,43.79
24,Female,23,Bachelor's,5.2,83.92,Yes,61.85,93.31
25,Female,20,None,15.9,86.5,Yes,50.12,95.86
26,Male,18,PhD,5.5,60.65,No,85.44,75.21
27,Male,18,PhD,18.1,53.94,No,43.04,90.43
28,Male,18,High School,15.3,63.85,Yes,73.21,51.01
29,Female,21,Master's,20.6,62.44,No,57.7,94.1
30,Female,23,PhD,24.2,61.73,Yes,48.02,70.38
31,Female,22,None,24.2,59.64,Yes,86.31,44.03
32,Male,22,Master's,23.1,78.74,No,53.05,48.48
33,Female,21,Master's,7.5,66.41,No,53.42,58.54
34,Male,19,None,15.4,91.02,No,56.5,42.61
35,Female,21,Master's,25.4,59.2,Yes,75.21,58.56
36,Female,23,Bachelor's,21.4,73.23,No,79.58,43.6
37,Female,18,Master's,22,50.68,Yes,41.06,54.16
38,Male,21,High School,10.7,74.08,Yes,54.51,55.94
39,Male,18,Master's,13.1,52.79,No,65.86,99.66
40,Female,23,PhD,28.9,98.89,No,59.92,54.13
41,Male,24,Master's,26.2,89.53,No,93.05,54.35
42,Male,23,High School,9.1,74.51,Yes,87.26,81.21
43,Male,20,High School,18.6,54.33,No,77.55,91.56
44,Male,18,Master's,17.3,79.62,Yes,60.28,63.22
45,Male,22,Bachelor's,16.1,87.94,Yes,82.04,92.54
46,Male,21,Master's,16.8,59.54,Yes,90.62,60.41
47,Male,24,None,21.1,78.41,No,75.69,51.82
48,Female,23,High School,29.2,90.71,No,87.07,59.78
49,Male,18,Master's,26.9,88.41,No,84.95,76.56
50,Male,24,Bachelor's,26.9,90.15,Yes,74.3,62.03
51,Female,19,Bachelor's,22.6,93.97,Yes,58.73,80.37
52,Female,20,Bachelor's,5.4,96.88,Yes,84.75,54.22
53,Female,19,PhD,16,70.28,No,52.41,82.06
54,Female,23,PhD,17.8,78.44,No,86.77,60.85
55,Male,19,PhD,26.1,89.53,Yes,88.27,67.35
56,Female,19,None,28.1,84.86,Yes,89.33,73.46
57,Female,20,None,16.3,99.78,Yes,68.37,81.17
58,Male,20,Master's,12.5,50.68,Yes,51.55,54.32
59,Male,20,PhD,13.4,67.76,Yes,45.98,90.16
60,Male,24,PhD,19.5,64.05,Yes,84.6,83.31
61,Female,20,None,11.9,63.12,No,93.18,54.05
62,Male,19,Bachelor's,27.8,61.13,Yes,79.05,98.5
63,Female,22,Bachelor's,15.5,85.46,No,48.65,79.89
64,Male,22,High School,29.8,54.24,Yes,96.09,67.15
65,Male,20,Master's,7.7,87.08,Yes,99.35,49.45
66,Female,24,Master's,9.7,84.67,No,66,71.99
67,Male,21,PhD,17.8,62.54,No,75.69,49.89
68,Male,18,None,26.7,62.64,No,86.63,65.77
69,Male,23,Master's,13.8,81.44,No,84.18,64.52
70,Male,24,Bachelor's,25.9,88.11,Yes,98.07,83.2
71,Male,21,None,15.6,93.82,Yes,46.89,51.54
72,Female,23,PhD,26.3,92.61,Yes,74.84,89.31
73,Female,21,PhD,11.9,98.24,Yes,81.52,59.57
74,Male,21,Master's,16.8,79.07,No,93.41,66.64
75,Female,22,Master's,12,95.43,Yes,92.45,86.34
76,Female,18,High School,10.4,90.43,No,98.68,77.52
77,Female,21,Master's,15.5,94.73,Yes,70.72,58.48
78,Male,20,Master's,13.4,50.58,Yes,89.85,63.17
79,Male,23,Bachelor's,24.7,98.3,No,65.64,58.35
80,Male,24,Bachelor's,23.7,73.68,Yes,65.34,75.69
81,Female,22,None,14,89.91,Yes,55.2,59.96
82,Female,23,Master's,29.8,56.36,No,89.09,83.54
83,Male,20,Master's,29.3,69.8,Yes,99.15,74.79
84,Male,20,PhD,27.9,63.57,Yes,55.38,48.74
85,Female,21,Bachelor's,19.7,64.58,Yes,43.37,58.62
86,Female,20,PhD,15.3,56.16,No,88.93,53.29
87,Male,18,Master's,12.8,90.29,No,77.21,63.42
88,Female,20,Bachelor's,5.4,50.46,Yes,97.58,70.96
